"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10598","TC_HOMEPAGE_002 - select device","authenticated-tests","2025-12-17","passed","2025-12-17","Home Page Module","02.POM_homePageTest.spec.js","",""
"","6649","TC_HOMEPAGE_001 - select Categories tab","authenticated-tests","2025-12-17","passed","2025-12-17","Home Page Module","02.POM_homePageTest.spec.js","",""
