"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30388","TC_HOMEPAGE_002 - select device","authenticated-tests","2025-12-18","broken","2025-12-18","Home Page Module","02.POM_homePageTest.spec.js","",""
"","2151","TC_HOMEPAGE_001 - select Categories tab","authenticated-tests","2025-12-18","passed","2025-12-18","Home Page Module","02.POM_homePageTest.spec.js","",""
